Date,units,demand,epidemic,seasonality,promotion,discount,price,competitor_price,inventory
2022-03-01,10050,11914,0,Spring,0.35,8.75,70.5562,73.0375,29750
2022-03-02,8775,10250,0,Spring,0.2,7.5,68.2757,69.7433,31254
2022-03-03,10192,11758,0,Spring,0.35,9.15,70.22109999999999,71.839,31423
2022-03-04,10323,12275,0,Spring,0.35,8.6,72.19369999999999,72.77850000000001,31544
2022-03-05,10557,12275,0,Spring,0.35,9.85,70.4839,73.8162,30709
2022-03-06,9349,11354,0,Spring,0.3,9.05,69.9501,73.1365,31349
2022-03-07,9916,11452,0,Spring,0.4,10.25,68.7056,69.5256,31283
2022-03-08,10365,11498,0,Spring,0.3,9.1,69.3526,72.064,34556
2022-03-09,9960,11929,0,Spring,0.4,9.75,70.1358,70.7799,33328
2022-03-10,9335,10574,0,Spring,0.35,9.85,66.7721,69.7921,33094
2022-03-11,9495,10640,0,Spring,0.35,8.9,67.7374,69.54090000000001,31759
2022-03-12,11518,12860,0,Spring,0.45,11.55,69.8083,72.6675,31059
2022-03-13,9555,11547,0,Spring,0.3,8.9,70.4785,71.82300000000001,30770
2022-03-14,8768,10779,0,Spring,0.25,8.2,68.7753,70.6712,31642
2022-03-15,10246,11765,0,Spring,0.45,10.4,70.1248,71.5484,33006
2022-03-16,9999,11852,0,Spring,0.45,11.25,68.3111,69.9079,34216
2022-03-17,9433,11421,0,Spring,0.4,9.7,68.7052,69.4036,34446
2022-03-18,9402,10765,0,Spring,0.35,8.7,68.7392,68.7252,33486
2022-03-19,8776,10226,0,Spring,0.3,8.95,67.11,68.415,31810
2022-03-20,10568,12298,0,Spring,0.4,9.4,71.6762,72.8269,30250
2022-03-21,9938,12065,0,Spring,0.2,7.25,72.2817,72.985,31175
2022-03-22,8670,9826,0,Spring,0.3,8.6,66.47149999999999,69.5079,33427
2022-03-23,9906,11547,0,Spring,0.3,8.5,69.5075,70.6186,32975
2022-03-24,9808,11509,0,Spring,0.25,7.65,70.3777,72.5671,33620
2022-03-25,10629,12256,0,Spring,0.55,11.5,69.2921,72.0684,32938
2022-03-26,10576,12575,0,Spring,0.5,11.5,68.98559999999999,72.06569999999999,29755
2022-03-27,11169,12922,0,Spring,0.45,10.7,71.54350000000001,73.687,32055
2022-03-28,9288,10248,0,Spring,0.4,10.25,66.0694,67.34,32345
2022-03-29,9388,10863,0,Spring,0.0,4.45,73.0946,73.04979999999999,32155
2022-03-30,8982,9902,0,Spring,0.0,5.45,68.30369999999999,70.6962,36078
2022-03-31,8816,10028,0,Spring,0.0,4.4,70.8208,72.84819999999999,34923
2022-04-01,10273,12130,0,Spring,0.45,9.75,70.5846,71.4616,30509
2022-04-02,9787,11258,0,Spring,0.35,9.9,68.3699,70.2057,30194
2022-04-03,9379,11205,0,Spring,0.3,8.6,69.1451,72.0102,30702
2022-04-04,8970,10342,0,Spring,0.45,11.3,65.87899999999999,68.165,30493
2022-04-05,9703,11118,0,Spring,0.35,9.7,69.018,70.5323,32428
2022-04-06,10275,12730,0,Spring,0.55,12.0,70.2253,71.6004,30866
2022-04-07,10231,11670,0,Spring,0.4,10.05,69.8422,72.3196,29323
2022-04-08,10259,12304,0,Spring,0.55,11.3,69.1376,72.0256,30287
2022-04-09,8893,10240,0,Spring,0.3,9.1,67.5878,68.9271,28379
2022-04-10,9237,10442,0,Spring,0.15,7.25,69.0932,72.2165,29873
2022-04-11,9946,11989,0,Spring,0.45,10.85,69.3917,71.0642,29570
2022-04-12,10528,12767,0,Spring,0.55,12.45,69.9461,70.7346,29962
2022-04-13,10028,11980,0,Spring,0.35,10.15,70.80900000000001,71.5573,30066
2022-04-14,9226,10815,0,Spring,0.2,7.6,70.1566,73.0385,30146
2022-04-15,9632,11805,0,Spring,0.3,9.05,71.1551,71.2892,30814
2022-04-16,8750,10107,0,Spring,0.35,9.55,68.05680000000001,68.3166,32403
2022-04-17,10089,11537,0,Spring,0.35,9.55,70.1443,71.7886,31374
2022-04-18,10083,11676,0,Spring,0.3,8.3,69.9401,72.9034,32290
2022-04-19,10136,12301,0,Spring,0.5,11.7,69.4499,71.5342,32950
2022-04-20,10467,12362,0,Spring,0.3,9.45,72.0227,74.23310000000001,33396
2022-04-21,8888,10197,0,Spring,0.4,10.15,67.003,68.16149999999999,33545
2022-04-22,8656,10163,0,Spring,0.15,6.25,69.3169,70.4282,35989
2022-04-23,6010,6686,1,Spring,0.2,7.8,61.431999999999995,62.5009,35542
2022-04-24,6398,7357,1,Spring,0.45,11.2,59.1958,61.6045,35909
2022-04-25,6842,7732,1,Spring,0.4,10.55,61.10189999999999,61.9257,33321
2022-04-26,5602,6201,1,Spring,0.2,6.95,59.804300000000005,61.9534,31349
2022-04-27,5782,6825,1,Spring,0.3,9.1,60.6087,60.7992,29728
2022-04-28,5854,6834,1,Spring,0.4,9.8,59.741800000000005,60.210100000000004,27478
2022-04-29,5578,6294,1,Spring,0.0,4.9,61.8784,62.7983,28214
2022-04-30,5310,6009,1,Spring,0.0,4.25,61.24100000000001,62.203,26101
2022-05-01,6289,6875,1,Spring,0.5,11.1,58.626599999999996,60.145900000000005,25100
2022-05-02,5816,6819,1,Spring,0.25,7.55,61.2112,63.4095,24314
2022-05-03,5941,6818,1,Spring,0.2,7.55,61.256099999999996,63.6514,23345
2022-05-04,5765,6766,1,Spring,0.35,10.4,59.3479,59.8472,21767
2022-05-05,6417,7077,1,Spring,0.2,7.9,61.525299999999994,62.5929,25728
2022-05-06,6393,7419,1,Spring,0.45,10.35,60.3106,61.03229999999999,23692
2022-05-07,6278,6856,1,Spring,0.25,8.2,61.2254,61.9828,21893
2022-05-08,5980,7269,1,Spring,0.3,8.5,61.3785,62.9014,20473
2022-05-09,5833,6669,1,Spring,0.2,7.7,60.7041,61.1456,21305
2022-05-10,6205,7088,1,Spring,0.3,9.3,60.1828,60.2461,22374
2022-05-11,5906,6982,1,Spring,0.3,8.15,61.126099999999994,63.0521,21385
2022-05-12,5649,6443,1,Spring,0.35,9.15,59.116800000000005,59.677,22746
2022-05-13,5765,6694,1,Spring,0.35,8.65,59.79560000000001,61.9538,23629
2022-05-14,6192,7077,1,Spring,0.45,10.65,59.703599999999994,61.0463,22122
2022-05-15,5998,7169,1,Spring,0.45,10.1,60.3187,61.71810000000001,23025
2022-05-16,6130,6924,1,Spring,0.3,9.35,60.5234,61.4305,24455
2022-05-17,6411,7295,1,Spring,0.4,9.7,60.5336,61.4675,23892
2022-05-18,5242,6297,1,Spring,0.4,9.7,58.1764,59.9512,22717
2022-05-19,6075,7137,1,Spring,0.45,10.2,60.2642,60.8829,25282
2022-05-20,6745,7658,1,Spring,0.55,12.2,58.9966,61.0028,24798
2022-05-21,6038,6776,1,Spring,0.4,9.1,60.491899999999994,63.583800000000004,22109
2022-05-22,5981,7083,1,Spring,0.2,8.05,61.482,62.2812,20159
2022-05-23,5471,6715,1,Spring,0.35,8.85,60.412600000000005,62.1777,23044
2022-05-24,6095,6729,1,Spring,0.35,9.1,60.743599999999994,62.2389,25224
2022-05-25,6510,7250,1,Spring,0.5,10.85,61.0719,61.1784,23385
2022-05-26,8697,10744,0,Spring,0.4,10.75,67.8221,68.2749,23450
2022-05-27,9571,12001,0,Spring,0.5,11.7,68.8043,70.2454,22807
2022-05-28,9424,11180,0,Spring,0.3,9.6,68.15690000000001,69.0339,21943
2022-05-29,8845,10770,0,Spring,0.0,4.65,71.68,74.6728,24968
2022-05-30,9196,10253,0,Spring,0.0,5.3,70.2275,71.2253,32541
2022-05-31,9091,10279,0,Spring,0.0,4.7,71.33239999999999,73.8265,30517
2022-06-01,9544,11408,0,Summer,0.5,11.45,67.6024,70.9372,28555
2022-06-02,10039,11872,0,Summer,0.25,8.5,71.6537,72.17110000000001,27349
2022-06-03,9818,12073,0,Summer,0.3,9.1,72.9471,73.6454,26089
2022-06-04,9170,11415,0,Summer,0.35,8.6,70.605,71.2424,28360
2022-06-05,9145,11067,0,Summer,0.2,6.8,70.9554,72.5622,30915
2022-06-06,9561,10831,0,Summer,0.25,9.3,67.437,68.24510000000001,36299
2022-06-07,8889,9906,0,Summer,0.2,7.5,68.51010000000001,69.421,35624
2022-06-08,10667,12552,0,Summer,0.45,10.4,70.7655,72.8488,35555
2022-06-09,9669,11729,0,Summer,0.35,9.95,69.0855,69.803,33147
2022-06-10,9891,11905,0,Summer,0.35,8.9,70.5667,71.8325,31505
2022-06-11,11391,13048,0,Summer,0.3,8.6,71.86189999999999,73.9427,34853
2022-06-12,10883,12724,0,Summer,0.3,8.55,72.1155,74.7312,35546
2022-06-13,9602,11706,0,Summer,0.35,10.05,69.5466,70.6734,29511
2022-06-14,10181,12055,0,Summer,0.2,8.3,70.6241,72.7034,30483
2022-06-15,10798,12542,0,Summer,0.55,12.05,68.6825,71.1415,33606
2022-06-16,9928,11116,0,Summer,0.45,9.45,67.6487,68.8563,34221
2022-06-17,10361,12536,0,Summer,0.3,8.7,72.1827,73.4774,34156
2022-06-18,9321,10856,0,Summer,0.45,11.65,66.28529999999999,70.0779,33828
2022-06-19,10430,12114,0,Summer,0.45,10.45,69.063,73.0866,34342
2022-06-20,10095,12511,0,Summer,0.5,11.6,68.4406,69.7472,33598
2022-06-21,10644,12745,0,Summer,0.3,8.55,72.45779999999999,74.4993,32775
2022-06-22,10749,12555,0,Summer,0.5,11.25,70.4931,73.4145,32840
2022-06-23,9380,10832,0,Summer,0.3,9.1,68.4129,68.5256,33108
2022-06-24,10006,11949,0,Summer,0.35,9.0,70.8709,72.0321,33535
2022-06-25,10248,12097,0,Summer,0.35,9.5,71.0842,70.7937,33675
2022-06-26,11178,13349,0,Summer,0.6,12.45,71.36930000000001,74.7375,31029
2022-06-27,9709,11636,0,Summer,0.25,7.75,70.7517,74.41149999999999,30864
2022-06-28,10510,11950,0,Summer,0.3,8.85,71.0188,72.4282,30184
2022-06-29,5461,6338,1,Summer,0.0,5.3,61.453199999999995,63.5845,32195
2022-06-30,5548,6308,1,Summer,0.0,4.55,61.943999999999996,62.9965,37319
2022-07-01,5774,6760,1,Summer,0.25,8.25,60.7544,62.2117,37854
2022-07-02,5552,6408,1,Summer,0.35,8.7,59.3637,62.13399999999999,35178
2022-07-03,6701,7698,1,Summer,0.35,9.4,61.9495,64.1065,34287
2022-07-04,6950,7834,1,Summer,0.25,8.2,62.6105,63.9646,32167
2022-07-05,5841,7014,1,Summer,0.45,10.15,59.965,62.5194,28430
2022-07-06,6479,7516,1,Summer,0.3,8.35,62.1812,63.364,27512
2022-07-07,6788,7819,1,Summer,0.35,9.45,62.4571,64.4562,26469
2022-07-08,6774,7804,1,Summer,0.25,8.25,63.1203,62.48609999999999,26217
2022-07-09,6095,7485,1,Summer,0.45,11.35,60.867200000000004,62.05350000000001,24178
2022-07-10,6661,7656,1,Summer,0.3,8.4,62.304899999999996,63.6975,23678
2022-07-11,6257,7186,1,Summer,0.4,10.4,60.076,61.665,22940
2022-07-12,6271,7348,1,Summer,0.25,8.0,61.6436,64.0598,24453
2022-07-13,6716,7672,1,Summer,0.3,7.8,62.6661,65.225,25104
2022-07-14,6465,7304,1,Summer,0.4,9.95,60.3771,61.6759,25357
2022-07-15,6380,7261,1,Summer,0.4,10.7,59.1826,59.8038,22792
2022-07-16,6267,7406,1,Summer,0.3,9.1,61.9115,63.580799999999996,21708
2022-07-17,6510,7834,1,Summer,0.4,9.85,61.251999999999995,62.5672,22013
2022-07-18,6005,6716,1,Summer,0.1,6.55,62.4155,64.7621,25197
2022-07-19,6180,7024,1,Summer,0.25,8.95,60.95270000000001,60.6888,24756
2022-07-20,6208,6911,1,Summer,0.25,8.35,60.5678,62.010799999999996,24316
2022-07-21,5975,6806,1,Summer,0.3,8.75,59.3706,59.8876,24008
2022-07-22,6660,7803,1,Summer,0.55,11.3,60.7448,64.1871,22613
2022-07-23,7466,8630,1,Summer,0.55,11.6,62.6435,64.84989999999999,23036
2022-07-24,5703,7046,1,Summer,0.5,11.25,58.819700000000005,59.471000000000004,22170
2022-07-25,9478,11443,0,Summer,0.45,10.9,68.4345,69.68650000000001,23313
2022-07-26,10501,13772,0,Summer,0.5,11.25,71.9707,72.4765,22897
2022-07-27,9476,12475,0,Summer,0.5,10.95,69.9562,73.1566,24104
2022-07-28,9709,12347,0,Summer,0.3,9.7,70.8624,74.3951,27560
2022-07-29,8366,9962,0,Summer,0.0,4.3,69.9607,72.881,32096
2022-07-30,9827,11425,0,Summer,0.0,5.25,72.5939,75.4665,39136
2022-07-31,10122,11371,0,Summer,0.0,4.3,73.7812,75.61359999999999,37311
2022-08-01,9543,11018,0,Summer,0.2,7.8,70.1074,72.0614,36387
2022-08-02,9997,11890,0,Summer,0.5,11.8,67.7347,69.79769999999999,34010
2022-08-03,10465,12460,0,Summer,0.4,9.7,71.6751,72.4268,32970
2022-08-04,10541,12061,0,Summer,0.4,9.15,69.9879,71.8852,31919
2022-08-05,10100,11758,0,Summer,0.35,9.2,70.8894,71.3801,28628
2022-08-06,10198,12528,0,Summer,0.25,8.4,73.4779,74.9193,30567
2022-08-07,10271,12199,0,Summer,0.4,11.1,69.3179,71.4835,29998
2022-08-08,9864,11325,0,Summer,0.4,10.15,69.4034,69.8208,31807
2022-08-09,11119,12839,0,Summer,0.4,9.1,71.7073,74.41109999999999,31204
2022-08-10,9437,11145,0,Summer,0.35,9.35,68.722,69.8918,30603
2022-08-11,9843,11421,0,Summer,0.25,8.15,69.9504,72.3352,33284
2022-08-12,9735,11440,0,Summer,0.3,8.45,69.7743,71.36149999999999,34070
2022-08-13,9875,11353,0,Summer,0.3,9.6,70.1041,70.1752,33822
2022-08-14,10129,12114,0,Summer,0.35,9.65,70.7012,72.3004,36742
2022-08-15,10490,11844,0,Summer,0.35,9.55,70.4804,72.1675,37547
2022-08-16,10647,12029,0,Summer,0.45,11.2,69.4276,70.9078,34354
2022-08-17,10456,12606,0,Summer,0.3,8.85,71.1329,73.7915,31292
2022-08-18,10261,12655,0,Summer,0.35,10.0,70.82350000000001,74.5145,30755
2022-08-19,9393,10975,0,Summer,0.4,10.25,68.3183,71.0561,35224
2022-08-20,10093,12221,0,Summer,0.35,9.05,71.29270000000001,74.26140000000001,34799
2022-08-21,10332,12185,0,Summer,0.35,9.7,69.93130000000001,71.1253,35404
2022-08-22,10836,12012,0,Summer,0.3,8.25,71.2641,75.389,34313
2022-08-23,10428,12313,0,Summer,0.25,7.75,72.8082,75.0237,32532
2022-08-24,9829,11611,0,Summer,0.35,9.25,69.9365,71.3022,31599
2022-08-25,11555,13494,0,Summer,0.45,10.6,72.3228,75.0107,32888
2022-08-26,10261,11971,0,Summer,0.45,10.25,70.33850000000001,72.0291,33539
2022-08-27,10971,13033,0,Summer,0.3,9.35,72.0087,75.7514,31527
2022-08-28,11295,13021,0,Summer,0.5,11.05,71.80810000000001,73.5998,32329
2022-08-29,9378,10782,0,Summer,0.0,4.9,71.4091,72.693,32684
2022-08-30,9732,11228,0,Summer,0.0,4.3,73.02890000000001,74.7665,33936
2022-08-31,9631,10906,0,Summer,0.0,4.5,72.3252,74.1015,31523
2022-09-01,9577,11246,0,Autumn,0.55,12.55,67.2933,67.3494,32386
2022-09-02,9962,11928,0,Autumn,0.35,8.4,71.58539999999999,72.8907,30418
2022-09-03,10090,11810,0,Autumn,0.25,8.05,70.4201,73.33800000000001,29438
2022-09-04,9907,12040,0,Autumn,0.45,10.7,69.6983,70.7124,31110
2022-09-05,9434,10762,0,Autumn,0.3,9.15,68.9151,68.3212,32837
2022-09-06,9725,11273,0,Autumn,0.4,9.95,68.6546,70.98479999999999,31198
2022-09-07,8756,10577,0,Autumn,0.25,8.65,68.8815,70.5282,29878
2022-09-08,9002,10650,0,Autumn,0.4,10.15,67.3013,69.5403,34725
2022-09-09,9624,10980,0,Autumn,0.5,11.8,66.5783,68.0123,32604
2022-09-10,8596,9945,0,Autumn,0.15,6.9,68.0806,70.8197,30799
2022-09-11,9813,11279,0,Autumn,0.4,9.65,69.8388,72.31649999999999,30710
2022-09-12,8536,9804,0,Autumn,0.15,6.15,68.5605,69.6157,32076
2022-09-13,9033,10275,0,Autumn,0.25,7.9,68.7531,68.8265,31046
2022-09-14,8821,10313,0,Autumn,0.45,11.1,66.7814,68.3658,30972
2022-09-15,10164,12000,0,Autumn,0.4,9.45,71.7651,73.11449999999999,29762
2022-09-16,9394,10783,0,Autumn,0.4,9.95,68.9346,69.86309999999999,31162
2022-09-17,9744,11014,0,Autumn,0.4,10.25,69.0029,71.2252,32244
2022-09-18,9200,10849,0,Autumn,0.45,11.1,66.75359999999999,69.2715,29332
2022-09-19,9113,10898,0,Autumn,0.45,10.15,68.6945,70.2032,28063
2022-09-20,8461,9832,0,Autumn,0.2,7.55,68.733,70.7336,28979
2022-09-21,8738,9975,0,Autumn,0.55,10.9,66.2812,68.8119,27625
2022-09-22,8432,10230,0,Autumn,0.45,10.0,66.6566,68.97,29596
2022-09-23,9947,11271,0,Autumn,0.25,7.75,70.4826,72.8046,29360
2022-09-24,9352,11592,0,Autumn,0.2,7.8,71.46730000000001,72.8817,28057
2022-09-25,8490,9804,0,Autumn,0.3,9.15,66.4962,67.22359999999999,28161
2022-09-26,10579,12493,0,Autumn,0.35,10.1,69.9874,72.598,30427
2022-09-27,9177,10739,0,Autumn,0.3,8.25,68.454,70.8658,27546
2022-09-28,8564,10042,0,Autumn,0.45,10.9,65.5732,66.1684,28938
2022-09-29,8676,10272,0,Autumn,0.0,5.1,70.36269999999999,73.6376,33555
2022-09-30,8244,9588,0,Autumn,0.0,5.05,68.1788,70.1695,34590
2022-10-01,8277,9611,0,Autumn,0.25,7.4,66.8567,68.8126,33611
2022-10-02,9981,11151,0,Autumn,0.35,8.75,69.3813,72.3744,32935
2022-10-03,8834,10409,0,Autumn,0.2,7.7,68.7967,69.88770000000001,29678
2022-10-04,8915,10527,0,Autumn,0.2,7.25,69.2007,70.3225,29565
2022-10-05,8938,10731,0,Autumn,0.4,10.1,67.32440000000001,69.3444,28621
2022-10-06,9008,10895,0,Autumn,0.35,9.8,68.692,71.2376,31790
2022-10-07,9754,11126,0,Autumn,0.45,11.3,67.5837,68.8896,31621
2022-10-08,9651,11192,0,Autumn,0.35,9.35,69.32770000000001,70.3285,30484
2022-10-09,9270,10557,0,Autumn,0.4,10.6,66.7192,68.33930000000001,30921
2022-10-10,9250,10899,0,Autumn,0.35,9.3,68.7763,70.6194,31703
2022-10-11,9900,11312,0,Autumn,0.4,9.65,69.5929,71.53649999999999,30816
2022-10-12,9870,11240,0,Autumn,0.3,8.35,70.763,73.1397,30578
2022-10-13,9117,11374,0,Autumn,0.45,10.85,68.79440000000001,70.83229999999999,30542
2022-10-14,8888,10431,0,Autumn,0.45,10.7,67.5754,69.8223,31614
2022-10-15,10134,12403,0,Autumn,0.45,10.15,70.5942,72.6319,29764
2022-10-16,9306,10816,0,Autumn,0.3,8.6,68.7613,70.32300000000001,29246
2022-10-17,8123,10329,0,Autumn,0.35,9.65,67.0328,68.54090000000001,28475
2022-10-18,8802,10505,0,Autumn,0.45,11.25,66.08109999999999,67.9734,29322
2022-10-19,8806,10126,0,Autumn,0.45,11.25,66.5615,68.47579999999999,33012
2022-10-20,8004,9347,0,Autumn,0.2,7.1,66.9989,68.99029999999999,30831
2022-10-21,8799,10199,0,Autumn,0.35,9.3,67.1335,68.8913,29794
2022-10-22,9426,10937,0,Autumn,0.4,9.7,68.6199,70.0128,28086
2022-10-23,9894,11246,0,Autumn,0.25,8.45,70.90090000000001,72.0389,26572
2022-10-24,9490,11353,0,Autumn,0.45,10.55,68.5309,72.66770000000001,24831
2022-10-25,7939,9322,0,Autumn,0.15,7.35,66.17309999999999,70.7214,27444
2022-10-26,7565,9381,0,Autumn,0.3,8.3,65.71350000000001,67.7348,28945
2022-10-27,9343,10819,0,Autumn,0.45,10.5,66.8594,70.4554,30226
2022-10-28,9848,11954,0,Autumn,0.55,12.1,69.0079,70.0343,27979
2022-10-29,8344,10192,0,Autumn,0.0,5.25,70.1308,70.1406,26888
2022-10-30,8403,9779,0,Autumn,0.0,5.95,69.611,69.8095,30250
2022-10-31,8348,9702,0,Autumn,0.0,4.7,69.79939999999999,70.9633,32115
2022-11-01,9586,11112,0,Autumn,0.4,10.3,68.9059,69.16329999999999,31413
2022-11-02,9480,11091,0,Autumn,0.4,9.95,69.2995,69.1909,29697
2022-11-03,8031,9503,0,Autumn,0.15,6.95,67.925,69.6325,25407
2022-11-04,9596,11012,0,Autumn,0.25,8.05,69.8975,73.2406,27998
2022-11-05,10027,11890,0,Autumn,0.4,9.3,70.0446,72.4429,28929
2022-11-06,8971,10953,0,Autumn,0.45,10.3,68.44,69.50619999999999,26712
2022-11-07,9522,11070,0,Autumn,0.5,10.95,68.1288,70.5617,28866
2022-11-08,9237,10671,0,Autumn,0.3,8.25,68.5307,71.4631,31467
2022-11-09,9332,11012,0,Autumn,0.4,9.35,69.9832,71.93520000000001,32435
2022-11-10,9415,11157,0,Autumn,0.4,10.55,67.7872,69.8669,32638
2022-11-11,8509,9777,0,Autumn,0.3,8.5,66.9268,69.6678,32860
2022-11-12,10448,12531,0,Autumn,0.6,12.2,68.8287,69.81869999999999,32222
2022-11-13,9331,10892,0,Autumn,0.35,9.85,68.7628,70.0404,32915
2022-11-14,8599,10350,0,Autumn,0.25,8.15,68.9516,70.2486,30060
2022-11-15,9674,11763,0,Autumn,0.4,9.95,70.2105,69.6223,31689
2022-11-16,9608,10893,0,Autumn,0.25,8.15,69.3396,69.795,34688
2022-11-17,9530,11433,0,Autumn,0.35,8.8,69.7176,71.0257,33099
2022-11-18,9604,11423,0,Autumn,0.4,9.9,69.8582,70.7891,33832
2022-11-19,9902,11431,0,Autumn,0.5,11.9,68.1904,70.97359999999999,33659
2022-11-20,8424,9775,0,Autumn,0.25,8.45,67.0225,70.5267,31121
2022-11-21,9371,11082,0,Autumn,0.25,8.15,69.8879,71.601,32159
2022-11-22,8529,10016,0,Autumn,0.3,8.7,68.0814,70.0855,30473
2022-11-23,8800,10501,0,Autumn,0.4,9.85,66.9458,66.9949,31119
2022-11-24,10218,12044,0,Autumn,0.4,10.1,70.0918,70.3948,28458
2022-11-25,8713,10053,0,Autumn,0.4,10.0,67.483,68.4955,27184
2022-11-26,9889,11467,0,Autumn,0.3,9.45,69.9333,71.9143,30423
2022-11-27,8451,10073,0,Autumn,0.25,7.65,68.7867,71.2465,28135
2022-11-28,8615,9830,0,Autumn,0.4,10.1,65.9003,66.6344,32411
2022-11-29,8317,9578,0,Autumn,0.0,4.95,69.3859,70.7311,33852
2022-11-30,9059,10023,0,Autumn,0.0,5.65,69.61359999999999,71.8306,32313
2022-12-01,7672,9264,0,Winter,0.35,10.1,64.77590000000001,67.2179,28757
2022-12-02,9287,11230,0,Winter,0.15,6.05,71.4627,72.7795,29301
2022-12-03,9579,10845,0,Winter,0.35,9.05,68.546,71.75569999999999,28647
