Date,product_id,split,actual,baseline,model_ep0
2024-02-12,P0009,future,,496.39285714285717,513.807894678332
2024-02-13,P0009,future,,496.39285714285717,515.7513494138186
2024-02-14,P0009,future,,496.39285714285717,519.8231483221887
2024-02-15,P0009,future,,496.39285714285717,515.8721276392422
2024-02-16,P0009,future,,496.39285714285717,515.3778927227004
2024-02-17,P0009,future,,496.39285714285717,529.2797059444251
2024-02-18,P0009,future,,496.39285714285717,505.86633016957063
2024-02-19,P0009,future,,496.39285714285717,507.07006572177244
2024-02-20,P0009,future,,496.39285714285717,508.83983354306145
2024-02-21,P0009,future,,496.39285714285717,512.7469878653764
2024-02-22,P0009,future,,496.39285714285717,508.6405689280503
2024-02-23,P0009,future,,496.39285714285717,508.00037489080603
2024-02-24,P0009,future,,496.39285714285717,521.765849495153
2024-02-25,P0009,future,,496.39285714285717,498.2259253263244
2024-02-26,P0009,future,,496.39285714285717,499.3130605751172
2024-02-27,P0009,future,,496.39285714285717,500.97632200856606
